Order ID,Order Date,Product Category,Product Name,Sales,Quantity,Region,Customer Segment,Profit,Discount,Year,Month,Month Name,Quarter,Day of Week,Week,Profit Margin,Revenue Per Unit
ORD001,2023-01-05,Electronics,Laptop,1200.0,1,North,Corporate,300.0,0.1,2023,1,January,1,Thursday,1,25.0,1200.0
ORD002,2023-01-07,Furniture,Office Chair,250.0,2,South,Consumer,50.0,0.05,2023,1,January,1,Saturday,1,20.0,125.0
ORD003,2023-01-10,Office Supplies,Pens Set,15.0,5,East,Home Office,5.0,0.0,2023,1,January,1,Tuesday,2,33.33,3.0
ORD004,2023-01-12,Electronics,Smartphone,800.0,1,West,Consumer,200.0,0.15,2023,1,January,1,Thursday,2,25.0,800.0
ORD005,2023-01-15,Furniture,Desk,350.0,1,North,Corporate,100.0,0.1,2023,1,January,1,Sunday,2,28.57,350.0
ORD006,2023-01-18,Electronics,Tablet,450.0,2,South,Home Office,120.0,0.05,2023,1,January,1,Wednesday,3,26.67,225.0
ORD007,2023-01-20,Office Supplies,Notebook,8.0,10,East,Consumer,2.5,0.0,2023,1,January,1,Friday,3,31.25,0.8
ORD008,2023-01-22,Furniture,Bookshelf,180.0,1,West,Home Office,40.0,0.1,2023,1,January,1,Sunday,3,22.22,180.0
ORD009,2023-01-25,Electronics,Keyboard,75.0,3,North,Corporate,20.0,0.05,2023,1,January,1,Wednesday,4,26.67,25.0
ORD010,2023-01-28,Office Supplies,Stapler,12.0,4,South,Consumer,3.0,0.0,2023,1,January,1,Saturday,4,25.0,3.0
ORD011,2023-02-02,Electronics,Monitor,320.0,2,East,Corporate,80.0,0.1,2023,2,February,1,Thursday,5,25.0,160.0
ORD012,2023-02-05,Furniture,Filing Cabinet,280.0,1,West,Consumer,65.0,0.05,2023,2,February,1,Sunday,5,23.21,280.0
ORD013,2023-02-08,Office Supplies,Paper Ream,45.0,5,North,Home Office,12.0,0.0,2023,2,February,1,Wednesday,6,26.67,9.0
ORD014,2023-02-10,Electronics,Wireless Mouse,35.0,4,South,Consumer,10.0,0.05,2023,2,February,1,Friday,6,28.57,8.75
ORD015,2023-02-12,Furniture,Conference Table,1500.0,1,East,Corporate,400.0,0.15,2023,2,February,1,Sunday,6,26.67,1500.0
ORD016,2023-02-15,Office Supplies,Binders,25.0,6,West,Home Office,8.0,0.0,2023,2,February,1,Wednesday,7,32.0,4.17
ORD017,2023-02-18,Electronics,Printer,280.0,1,North,Consumer,70.0,0.1,2023,2,February,1,Saturday,7,25.0,280.0
ORD018,2023-02-20,Furniture,Executive Chair,450.0,1,South,Corporate,120.0,0.05,2023,2,February,1,Monday,8,26.67,450.0
ORD019,2023-02-23,Office Supplies,Markers,18.0,8,East,Consumer,5.0,0.0,2023,2,February,1,Thursday,8,27.78,2.25
ORD020,2023-02-26,Electronics,Webcam,95.0,2,West,Home Office,25.0,0.05,2023,2,February,1,Sunday,8,26.32,47.5
ORD021,2023-03-01,Furniture,Standing Desk,520.0,1,North,Corporate,140.0,0.1,2023,3,March,1,Wednesday,9,26.92,520.0
ORD022,2023-03-04,Electronics,Headphones,120.0,3,South,Consumer,35.0,0.05,2023,3,March,1,Saturday,9,29.17,40.0
ORD023,2023-03-07,Office Supplies,Folders,12.0,10,East,Home Office,3.5,0.0,2023,3,March,1,Tuesday,10,29.17,1.2
ORD024,2023-03-10,Electronics,USB Drive,22.0,5,West,Consumer,6.0,0.0,2023,3,March,1,Friday,10,27.27,4.4
