Order ID,Order Date,Product Category,Product Name,Sales,Quantity,Region,Customer Segment,Profit,Discount
ORD001,2023-01-05,Electronics,Laptop,1200.00,1,North,Corporate,300.00,0.10
ORD002,2023-01-07,Furniture,Office Chair,250.00,2,South,Consumer,50.00,0.05
ORD003,2023-01-10,Office Supplies,Pens Set,15.00,5,East,Home Office,5.00,0.00
ORD004,2023-01-12,Electronics,Smartphone,800.00,1,West,Consumer,200.00,0.15
ORD005,2023-01-15,Furniture,Desk,350.00,1,North,Corporate,100.00,0.10
ORD006,2023-01-18,Electronics,Tablet,450.00,2,South,Home Office,120.00,0.05
ORD007,2023-01-20,Office Supplies,Notebook,8.00,10,East,Consumer,2.50,0.00
ORD008,2023-01-22,Furniture,Bookshelf,180.00,1,West,Home Office,40.00,0.10
ORD009,2023-01-25,Electronics,Keyboard,75.00,3,North,Corporate,20.00,0.05
ORD010,2023-01-28,Office Supplies,Stapler,12.00,4,South,Consumer,3.00,0.00
ORD011,2023-02-02,Electronics,Monitor,320.00,2,East,Corporate,80.00,0.10
ORD012,2023-02-05,Furniture,Filing Cabinet,280.00,1,West,Consumer,65.00,0.05
ORD013,2023-02-08,Office Supplies,Paper Ream,45.00,5,North,Home Office,12.00,0.00
ORD014,2023-02-10,Electronics,Wireless Mouse,35.00,4,South,Consumer,10.00,0.05
ORD015,2023-02-12,Furniture,Conference Table,1500.00,1,East,Corporate,400.00,0.15
ORD016,2023-02-15,Office Supplies,Binders,25.00,6,West,Home Office,8.00,0.00
ORD017,2023-02-18,Electronics,Printer,280.00,1,North,Consumer,70.00,0.10
ORD018,2023-02-20,Furniture,Executive Chair,450.00,1,South,Corporate,120.00,0.05
ORD019,2023-02-23,Office Supplies,Markers,18.00,8,East,Consumer,5.00,0.00
ORD020,2023-02-26,Electronics,Webcam,95.00,2,West,Home Office,25.00,0.05
ORD021,2023-03-01,Furniture,Standing Desk,520.00,1,North,Corporate,140.00,0.10
ORD022,2023-03-04,Electronics,Headphones,120.00,3,South,Consumer,35.00,0.05
ORD023,2023-03-07,Office Supplies,Folders,12.00,10,East,Home Office,3.50,0.00
ORD024,2023-03-10,Electronics,USB Drive,22.00,5,West,Consumer,6.00,0.00
ORD025,2023-03-12,Furniture,Storage Cabinet,340.00,1,North,Corporate,90.00,0.10
ORD026,2023-03-15,Office Supplies,Scissors,8.00,6,South,Consumer,2.00,0.00
ORD027,2023-03-18,Electronics,Laptop Stand,55.00,2,East,Home Office,15.00,0.05
ORD028,2023-03-20,Furniture,Meeting Chair,185.00,4,West,Corporate,48.00,0.05
ORD029,2023-03-23,Electronics,External Hard Drive,110.00,2,North,Consumer,30.00,0.10
ORD030,2023-03-26,Office Supplies,Tape Dispenser,7.00,8,South,Home Office,2.00,0.00
ORD031,2023-04-02,Electronics,Gaming Mouse,85.00,2,East,Consumer,25.00,0.05
ORD032,2023-04-05,Furniture,L-Shaped Desk,680.00,1,West,Corporate,180.00,0.15
ORD033,2023-04-08,Office Supplies,Highlighters,14.00,7,North,Consumer,4.00,0.00
ORD034,2023-04-10,Electronics,Docking Station,145.00,1,South,Home Office,40.00,0.10
ORD035,2023-04-12,Furniture,Ergonomic Chair,520.00,1,East,Corporate,140.00,0.10
ORD036,2023-04-15,Office Supplies,Envelopes,15.00,10,West,Consumer,4.50,0.00
ORD037,2023-04-18,Electronics,Mechanical Keyboard,135.00,2,North,Consumer,38.00,0.05
ORD038,2023-04-20,Furniture,Side Table,95.00,2,South,Home Office,25.00,0.05
ORD039,2023-04-23,Electronics,Bluetooth Speaker,75.00,3,East,Consumer,20.00,0.10
ORD040,2023-04-26,Office Supplies,Clips,5.00,12,West,Home Office,1.50,0.00
ORD041,2023-05-01,Electronics,iPad,650.00,1,North,Corporate,170.00,0.10
ORD042,2023-05-04,Furniture,Drawer Unit,215.00,2,South,Consumer,55.00,0.05
ORD043,2023-05-07,Office Supplies,Calculator,28.00,4,East,Home Office,8.00,0.00
ORD044,2023-05-10,Electronics,Smart Watch,320.00,1,West,Consumer,85.00,0.15
ORD045,2023-05-12,Furniture,Coffee Table,280.00,1,North,Corporate,75.00,0.10
ORD046,2023-05-15,Electronics,Wireless Charger,45.00,4,South,Home Office,12.00,0.05
ORD047,2023-05-18,Office Supplies,Label Maker,55.00,2,East,Consumer,15.00,0.00
ORD048,2023-05-20,Furniture,Lounge Chair,380.00,1,West,Corporate,100.00,0.10
ORD049,2023-05-23,Electronics,Camera,950.00,1,North,Consumer,250.00,0.15
ORD050,2023-05-26,Office Supplies,Desk Organizer,32.00,5,South,Home Office,9.00,0.00
ORD051,2023-06-02,Electronics,Laptop,1150.00,1,East,Corporate,290.00,0.10
ORD052,2023-06-05,Furniture,Executive Desk,850.00,1,West,Corporate,230.00,0.15
ORD053,2023-06-08,Office Supplies,Whiteboard,120.00,2,North,Consumer,32.00,0.05
